1@1@Jack Abbott;@Courtesy of Clive Abbott.
169@223@James Erik Hamilton;@Courtesy of Falkland Islands Government Archives.
170@224@John Hamilton;@Courtesy of Dr Wayne Bernhardson.
171@229@Brook Hardcastle;@Courtesy of Mrs Angela Wigglesworth.
172@230@HC Harding;@Courtesy of Mrs Sally Blake.
173@232@Sir A Hardy;@Courtesy of Mrs Rosalind Gunther Marsden.
174@233@Les Hardy;@Courtesy of Falkland Islands Government Archives.
175@233@Kelpa Cola;@Falkland Islands Museum & National Trust.
176@234@Sir Sidney Harmer;@Courtesy of Mrs Rosalind Gunther Marsden.
177@236@Sir Cosmo and Lady Haskard;@Photo by John Leonard. Courtesy of Falkland Islands Government Archives.
178@236@Sir Cosmo and Lady Haskard;@Photo by Sven Gillsäter. Courtesy of Bjorn Gillsäter.
179@237@Alice Mary Havers;@"From the Illustrated London News, 1890."
180@240@Sir Richard Hawkins;@© National Maritime Museum.
181@241@Sir Jack Hayward;@Courtesy of SS Great Britain Trust.
182@246@Governor Henniker-Heaton;@Courtesy of Falkland Islands Government Archives.
183@249@Ernesto Hobbs;@Courtesy of Professor Mateo Martini.
184@251@McDonald Hobley;@Courtesy of the BBC.
185@253@Governor Hodson;@By Bassano and Vandyk. © National Portrait Gallery London.
186@253@Governor Hodson;@"Courtesy of The National Archives, London."
187@255@David Honeyman;@Courtesy of Mrs Nancy Honeyman.
188@256@Sir JD Hooker;@© National Portrait Gallery London.
189@256@[Sir JD Hooker] Hunting cattle;@From A Voyage of Discovery and Research… (London 1847).
190@256@[Sir JD Hooker] Tussac grass; @From A Voyage of Discovery and Research… (London 1847).
191@258@FJ Howe-Hennis;@Courtesy of Robin Woods.
192@260@Governor and Mrs Hunt;@Courtesy of Sir Rex Hunt.
193@261@JF Hunziker;@Courtesy of Jeremy Howat.
194@261@[JF Hunziker] The Leap;@
195@262@Lord Hurd and Jim Clement;@Courtesy of Lord Hurd of Westwell.
196@263@Colonel Hynes;@Imperial War Museum.
197@264@Bishop Norman de Jersey;@Courtesy of the South American Missionary Society.
198@265@Colonel David Jewett;@Courtesy of Brazilian Navy.
199@269@Stanley Kemp;@Courtesy of Mrs Rosalind Gunther Marsden.
200@270@James Kerr;@Courtesy of Ms Jane Kerr.
201@271@Governor Kerr;@Courtesy of Falkland Islands Government Archives.
202@273@Des and Nanette King;@Courtesy of Ms Anna King
203@274@Joe King and family;@Courtesy of Peter King.
204@276@[Kit] Kit’s Cave;@Courtesy of Mrs Joan Spruce.
205@277@HW Klutschak;@Courtesy of Dr Cornelia Lüdecke.
206@278@L Kohl-Larsen;@Courtesy of Dr Cornelia Lüdecke.
207@279@Alexander Lafone;@Courtesy of Falkland Islands Company.
208@280@Samuel Fisher Lafone;@Dean Family Collection in Cambridge University Library.
209@282@Captain W Langdon;@Courtesy of the State Library of Tasmania.
210@283@Captain CA Larsen;@Courtesy of the Scott Polar Research Institute.
211@285@Thomas Layng;@Courtesy of TH Layng.
212@287@AA Lecomte;@With kind permission of John Edwards.
213@288@Jacob and Grace Lee;@Courtesy of the Lee Family.
214@289@Karl Lellman;@Courtesy of Karl Lellman.
215@290@John Leonard;@Photo by John Leonard.
216@292@Governor Lewis;@Courtesy of Falkland Islands Government Archives.
217@292@Governor Lewis;@"Courtesy of The National Archives, London."
